           the | ================================================================== (66)
           and | ============================================ (44)
            of | ========================================== (42)
             I | ========================================= (41)
            to | ====================== (22)
           you | ================ (16)
            it | ================ (16)
            my | ================ (16)
            me | =============== (15)
          from | ============= (13)
           The | =========== (11)
            in | =========== (11)
            is | =========== (11)
           And | =========== (11)
            at | ======== (8)
             a | ======== (8)
         shall | ======== (8)
           not | ======== (8)
            be | ======= (7)
           for | ======= (7)
           are | ======= (7)
         grass | ====== (6)
          with | ====== (6)
            It | ====== (6)
            or | ====== (6)
           old | ====== (6)
          what | ====== (6)
            am | ===== (5)
            as | ===== (5)
           men | ===== (5)
           You | ===== (5)
       mothers | ==== (4)
         guess | ==== (4)
          same | ==== (4)
            do | ==== (4)
          good | ==== (4)
           may | ==== (4)
          Have | ==== (4)
        myself | ==== (4)
          them | ==== (4)
             A | === (3)
         roofs | === (3)
         blood | === (3)
         child | === (3)
         young | === (3)
         there | === (3)
            if | === (3)
        become | === (3)
           air | === (3)
        health | === (3)
           all | === (3)
       parents | === (3)
            no | === (3)
            on | === (3)
           any | === (3)
            Or | === (3)
          laps | === (3)
           sun | === (3)
            so | === (3)
       through | === (3)
         white | === (3)
           has | === (3)
          this | === (3)
          look | === (3)
          know | === (3)
           nor | === (3)
         every | === (3)
           out | === (3)
          here | === (3)
         their | === (3)
          will | === (3)
          your | == (2)
         would | == (2)
       possess | == (2)
         poems | == (2)
          much | == (2)
          dead | == (2)
          eyes | == (2)
            by | == (2)
         after | == (2)
         words | == (2)
         under | == (2)
         zones | == (2)
          take | == (2)
          back | == (2)
        mouths | == (2)
            he | == (2)
          soon | == (2)
  distillation | == (2)
            II | == (2)
       nothing | == (2)
         women | == (2)
           too | == (2)
         could | == (2)
          atom | == (2)
          than | == (2)
            My | == (2)
         earth | == (2)
         about | == (2)
     somewhere | == (2)
      perfumes | == (2)
          they | == (2)
         taken | == (2)
         loafe | == (2)
         think | == (2)
           one | == (2)
           LII | == (2)
           but | == (2)
        leaves | == (2)
        things | == (2)
            VI | == (2)
        assume | == (2)
          full | == (2)
          What | == (2)
          life | == (2)
           now | == (2)
         green | == (2)
        eddies | == (2)
         hints | == (2)
          come | == (2)
         among | == (2)
      reckoned | == (2)
